Dataset,Split,Category,Nodes,Edges,Avg_Degree,Max_Degree,Avg_Weight,Min_Weight,Max_Weight,Avg_Strength,Max_Strength,Density,C_unw,C_w,Num_CC,LCC_Nodes,LCC_Pct,APL_LCC,Diameter_LCC
Budapest.txt,TRAIN,Real-World,480,989,4.1208,94,4.9474,1.0000,156.0000,20.3875,731.5000,0.008603,0.3004,0.0109,5,467,97.29,4.9241,20
C_elegans.txt,TRAIN,Real-World,297,2148,14.4646,134,3.9474,1.0000,70.0000,57.0976,1700.0000,0.048867,0.2924,0.0183,1,297,100.00,2.4553,5
E.coli.edge,TRAIN,Real-World,1100,3637,6.6127,152,1.3638,1.0000,32.0000,9.0182,229.0000,0.006017,0.4571,0.0201,1,1100,100.00,3.8332,11
US_airports.txt,TRAIN,Real-World,500,2980,11.9200,145,152320.1899,9.0000,2253992.0000,1815656.6640,49316361.0000,0.023888,0.6175,0.0217,1,500,100.00,2.9910,7
carrib.txt,TRAIN,Real-World,249,3492,28.0482,248,0.0672,0.0000,15.0681,1.8840,151.2439,0.113098,0.4002,0.0012,1,249,100.00,1.8869,2
open_flights.txt,TRAIN,Real-World,2939,15677,10.6683,242,1.4620,1.0000,11.0000,15.5965,359.0000,0.003631,0.4526,0.0595,11,2905,98.84,4.1162,14
out.advogato,TRAIN,Real-World,5155,39285,15.2415,803,0.8531,0.6000,1.0000,13.0020,749.2000,0.002957,0.2477,0.2081,57,5042,97.81,3.2937,8
out.foldoc,TRAIN,Real-World,13356,91471,13.6974,728,1.0517,1.0000,15.0000,14.4057,827.0000,0.001026,0.3379,0.0233,1,13356,100.00,3.8798,7
synthetic_sf_100.txt,TRAIN,Synthetic (BBV),100,384,7.6800,23,0.8378,0.0037,8.2794,6.4345,38.1898,0.077576,0.1559,0.0057,1,100,100.00,2.3986,4
synthetic_sf_1000.txt,TRAIN,Synthetic (BBV),1000,3984,7.9680,117,1.0779,0.0033,26.9590,8.5888,387.7751,0.007976,0.0295,0.0007,1,1000,100.00,3.2025,5
synthetic_sf_1500.txt,TRAIN,Synthetic (BBV),1500,5984,7.9787,132,1.0841,0.0036,22.8818,8.6501,416.1458,0.005323,0.0241,0.0007,1,1500,100.00,3.3211,5
synthetic_sf_2000.txt,TRAIN,Synthetic (BBV),2000,7984,7.9840,156,1.1494,0.0036,36.5519,9.1768,464.1416,0.003994,0.0214,0.0005,1,2000,100.00,3.4247,5
synthetic_sf_250.txt,TRAIN,Synthetic (BBV),250,984,7.8720,65,1.1521,0.0034,16.4343,9.0694,134.7037,0.031614,0.1150,0.0041,1,250,100.00,2.6805,4
synthetic_sf_2500.txt,TRAIN,Synthetic (BBV),2500,9984,7.9872,127,1.1369,0.0034,32.1891,9.0810,339.9163,0.003196,0.0172,0.0004,1,2500,100.00,3.4878,6
synthetic_sf_3000.txt,TRAIN,Synthetic (BBV),3000,11984,7.9893,214,1.1463,0.0034,39.1877,9.1580,700.6320,0.002664,0.0152,0.0003,1,3000,100.00,3.5584,6
synthetic_sf_4000.txt,TRAIN,Synthetic (BBV),4000,15984,7.9920,220,1.1671,0.0033,43.0715,9.3275,812.2600,0.001998,0.0138,0.0003,1,4000,100.00,3.6263,6
synthetic_sf_500.txt,TRAIN,Synthetic (BBV),500,1984,7.9360,61,1.0267,0.0038,21.4607,8.1480,147.3742,0.015904,0.0490,0.0014,1,500,100.00,2.9627,5
synthetic_sf_850.txt,TRAIN,Synthetic (BBV),850,3384,7.9624,106,1.0882,0.0034,35.8943,8.6646,223.2191,0.009379,0.0438,0.0007,1,850,100.00,3.1231,5
cargoshipsBB.txt,TEST,Real-World,834,4349,10.4293,173,97.7094,2.0000,8785.0000,1019.0360,24931.0000,0.012520,0.4170,0.0037,7,821,98.44,3.3392,9
facebook_combined.txt,TEST,Real-World,4039,88234,43.6910,1045,1.0000,1.0000,1.0000,43.6910,1045.0000,0.010820,0.6055,0.6055,1,4039,100.00,3.7056,8
karate.txt,TEST,Real-World,34,78,4.5882,17,1.0000,1.0000,1.0000,4.5882,17.0000,0.139037,0.5706,0.5706,1,34,100.00,2.4082,5
synthetic_test_realworld.txt,TEST,Synthetic (BBV),800,3184,7.9600,111,1.0000,1.0000,1.0000,7.9600,111.0000,0.009962,0.0388,0.0388,1,800,100.00,3.1135,5
synthetic_test_sf_1000.txt,TEST,Synthetic (BBV),1000,3984,7.9680,112,1.0794,0.0036,24.2102,8.6008,285.1445,0.007976,0.0366,0.0008,1,1000,100.00,3.1929,5
synthetic_test_sf_2000.txt,TEST,Synthetic (BBV),2000,7984,7.9840,168,1.0849,0.0036,37.5795,8.6618,444.8366,0.003994,0.0200,0.0004,1,2000,100.00,3.3981,5
synthetic_test_sf_250.txt,TEST,Synthetic (BBV),250,984,7.8720,50,0.9441,0.0040,14.0566,7.4320,86.0795,0.031614,0.1052,0.0028,1,250,100.00,2.7114,4
synthetic_test_sf_500.txt,TEST,Synthetic (BBV),500,1984,7.9360,72,1.0523,0.0033,18.6008,8.3514,138.8969,0.015904,0.0586,0.0017,1,500,100.00,2.9365,5
synthetic_test_sf_5000.txt,TEST,Synthetic (BBV),5000,19984,7.9936,224,1.1704,0.0034,61.6735,9.3558,958.4333,0.001599,0.0106,0.0002,1,5000,100.00,3.6934,6
